state,variable,gender,value,remark
Malaysia,total,female,14662572,Ethnic
Malaysia,bumiputra,female,10197719,Ethnic
Malaysia,chinese,female,3374613,Ethnic
Malaysia,indian,female,991347,Ethnic
Malaysia,others,female,98893,Ethnic
Malaysia,total,male,15093743,Ethnic
Malaysia,bumiputra,male,10451814,Ethnic
Malaysia,chinese,male,3517754,Ethnic
Malaysia,indian,male,1007431,Ethnic
Malaysia,others,male,116744,Ethnic
Johor,total,female,1808374,Ethnic
Johor,bumiputra,female,1090489,Ethnic
Johor,chinese,female,589111,Ethnic
Johor,indian,female,121474,Ethnic
Johor,others,female,7300,Ethnic
Johor,total,male,1882129,Ethnic
Johor,bumiputra,male,1128685,Ethnic
Johor,chinese,male,619541,Ethnic
Johor,indian,male,122821,Ethnic
Johor,others,male,11082,Ethnic
Kedah,total,female,1018289,Ethnic
Kedah,bumiputra,female,813954,Ethnic
Kedah,chinese,female,125554,Ethnic
Kedah,indian,female,66626,Ethnic
Kedah,others,female,12155,Ethnic
Kedah,total,male,1019791,Ethnic
Kedah,bumiputra,male,818802,Ethnic
Kedah,chinese,male,125046,Ethnic
Kedah,indian,male,62429,Ethnic
Kedah,others,male,13514,Ethnic
Kelantan,total,female,879958,Ethnic
Kelantan,bumiputra,female,850231,Ethnic
Kelantan,chinese,female,21752,Ethnic
Kelantan,indian,female,2428,Ethnic
Kelantan,others,female,5547,Ethnic
Kelantan,total,male,877241,Ethnic
Kelantan,bumiputra,male,846600,Ethnic
Kelantan,chinese,male,22924,Ethnic
Kelantan,indian,male,2277,Ethnic
Kelantan,others,male,5440,Ethnic
Melaka,total,female,457426,Ethnic
Melaka,bumiputra,female,327922,Ethnic
Melaka,chinese,female,100907,Ethnic
Melaka,indian,female,26253,Ethnic
Melaka,others,female,2344,Ethnic
Melaka,total,male,469935,Ethnic
Melaka,bumiputra,male,336713,Ethnic
Melaka,chinese,male,104332,Ethnic
Melaka,indian,male,26106,Ethnic
Melaka,others,male,2784,Ethnic
Negeri Sembilan,total,female,557980,Ethnic
Negeri Sembilan,bumiputra,female,353830,Ethnic
Negeri Sembilan,chinese,female,122105,Ethnic
Negeri Sembilan,indian,female,79783,Ethnic
Negeri Sembilan,others,female,2262,Ethnic
Negeri Sembilan,total,male,574249,Ethnic
Negeri Sembilan,bumiputra,male,362591,Ethnic
Negeri Sembilan,chinese,male,126351,Ethnic
Negeri Sembilan,indian,male,81850,Ethnic
Negeri Sembilan,others,male,3457,Ethnic
Pahang,total,female,738391,Ethnic
Pahang,bumiputra,female,601618,Ethnic
Pahang,chinese,female,105910,Ethnic
Pahang,indian,female,27387,Ethnic
Pahang,others,female,3476,Ethnic
Pahang,total,male,774839,Ethnic
Pahang,bumiputra,male,624849,Ethnic
Pahang,chinese,male,115802,Ethnic
Pahang,indian,male,28465,Ethnic
Pahang,others,male,5723,Ethnic
Pulau Pinang,total,female,788616,Ethnic
Pulau Pinang,bumiputra,female,352184,Ethnic
Pulau Pinang,chinese,female,354396,Ethnic
Pulau Pinang,indian,female,77011,Ethnic
Pulau Pinang,others,female,5025,Ethnic
Pulau Pinang,total,male,811258,Ethnic
Pulau Pinang,bumiputra,male,363715,Ethnic
Pulau Pinang,chinese,male,363966,Ethnic
Pulau Pinang,indian,male,78481,Ethnic
