state,variable,gender,value,remark
Malaysia,total,female,11321341,Marital Status
Malaysia,nevermarried,female,3521074,Marital Status
Malaysia,married,female,6773590,Marital Status
Malaysia,widowed,female,693949,Marital Status
Malaysia,separatedordivorced,female,246786,Marital Status
Malaysia,unknown,female,85942,Marital Status
Malaysia,total,male,12554204,Marital Status
Malaysia,nevermarried,male,4870702,Marital Status
Malaysia,married,male,6922838,Marital Status
Malaysia,widowed,male,252287,Marital Status
Malaysia,separatedordivorced,male,146643,Marital Status
Malaysia,unknown,male,361734,Marital Status
Johor,total,female,1397937,Marital Status
Johor,nevermarried,female,428081,Marital Status
Johor,married,female,859194,Marital Status
Johor,widowed,female,81367,Marital Status
Johor,separatedordivorced,female,28730,Marital Status
Johor,unknown,female,565,Marital Status
Johor,total,male,1652423,Marital Status
Johor,nevermarried,male,694677,Marital Status
Johor,married,male,907283,Marital Status
Johor,widowed,male,32045,Marital Status
Johor,separatedordivorced,male,17934,Marital Status
Johor,unknown,male,484,Marital Status
Kedah,total,female,749066,Marital Status
Kedah,nevermarried,female,208495,Marital Status
Kedah,married,female,455784,Marital Status
Kedah,widowed,female,59893,Marital Status
Kedah,separatedordivorced,female,13262,Marital Status
Kedah,unknown,female,11632,Marital Status
Kedah,total,male,779372,Marital Status
Kedah,nevermarried,male,268465,Marital Status
Kedah,married,male,455089,Marital Status
Kedah,widowed,male,18625,Marital Status
Kedah,separatedordivorced,male,6869,Marital Status
Kedah,unknown,male,30324,Marital Status
Kelantan,total,female,631373,Marital Status
Kelantan,nevermarried,female,227513,Marital Status
Kelantan,married,female,329697,Marital Status
Kelantan,widowed,female,58148,Marital Status
Kelantan,separatedordivorced,female,12884,Marital Status
Kelantan,unknown,female,3131,Marital Status
Kelantan,total,male,624033,Marital Status
Kelantan,nevermarried,male,277272,Marital Status
Kelantan,married,male,317557,Marital Status
Kelantan,widowed,male,14498,Marital Status
Kelantan,separatedordivorced,male,6396,Marital Status
Kelantan,unknown,male,8310,Marital Status
Melaka,total,female,360969,Marital Status
Melaka,nevermarried,female,120951,Marital Status
Melaka,married,female,200382,Marital Status
Melaka,widowed,female,25910,Marital Status
Melaka,separatedordivorced,female,7049,Marital Status
Melaka,unknown,female,6677,Marital Status
Melaka,total,male,403506,Marital Status
Melaka,nevermarried,male,159428,Marital Status
Melaka,married,male,203856,Marital Status
Melaka,widowed,male,8831,Marital Status
Melaka,separatedordivorced,male,3731,Marital Status
Melaka,unknown,male,27660,Marital Status
Negeri Sembilan,total,female,429706,Marital Status
