state,variable,gender,value,remark
Malaysia,total,female,15481168,Religion
Malaysia,islam,female,9898941,Religion
Malaysia,christianity,female,1449353,Religion
Malaysia,buddhism,female,2934331,Religion
Malaysia,hinduism,female,898196,Religion
Malaysia,others,female,137516,Religion
Malaysia,others,female,121766,Religion
Malaysia,others,female,41065,Religion
Malaysia,total,male,16966217,Religion
Malaysia,islam,male,10711119,Religion
Malaysia,christianity,male,1491696,Religion
Malaysia,buddhism,male,3132453,Religion
Malaysia,hinduism,male,1071275,Religion
Malaysia,others,male,147636,Religion
Malaysia,others,male,150033,Religion
Malaysia,others,male,262005,Religion
Johor,total,female,1868363,Religion
Johor,islam,female,1117837,Religion
Johor,christianity,female,57723,Religion
Johor,buddhism,female,552283,Religion
Johor,hinduism,female,114337,Religion
Johor,others,female,15457,Religion
Johor,others,female,10725,Religion
Johor,others,female,1,Religion
Johor,total,male,2141307,Religion
Johor,islam,male,1276842,Religion
Johor,christianity,male,63743,Religion
Johor,buddhism,male,598521,Religion
Johor,hinduism,male,168380,Religion
Johor,others,male,16895,Religion
Johor,others,male,16923,Religion
Johor,others,male,3,Religion
Kedah,total,female,1044141,Religion
Kedah,islam,female,826036,Religion
Kedah,christianity,female,7929,Religion
Kedah,buddhism,female,130096,Religion
Kedah,hinduism,female,63314,Religion
Kedah,others,female,4799,Religion
Kedah,others,female,335,Religion
Kedah,others,female,11632,Religion
Kedah,total,male,1087286,Religion
Kedah,islam,male,846584,Religion
Kedah,christianity,male,8344,Religion
Kedah,buddhism,male,133880,Religion
Kedah,hinduism,male,62136,Religion
Kedah,others,male,5017,Religion
Kedah,others,male,954,Religion
Kedah,others,male,30371,Religion
Kelantan,total,female,892438,Religion
Kelantan,islam,female,856366,Religion
Kelantan,christianity,female,3120,Religion
Kelantan,buddhism,female,25038,Religion
Kelantan,hinduism,female,1587,Religion
Kelantan,others,female,1582,Religion
Kelantan,others,female,3797,Religion
Kelantan,others,female,948,Religion
Kelantan,total,male,900063,Religion
Kelantan,islam,male,855897,Religion
Kelantan,christianity,male,3730,Religion
Kelantan,buddhism,male,25687,Religion
Kelantan,hinduism,male,2234,Religion
Kelantan,others,male,1725,Religion
Kelantan,others,male,4521,Religion
Kelantan,others,male,6269,Religion
Melaka,total,female,473486,Religion
Melaka,islam,female,332724,Religion
Melaka,christianity,female,13187,Religion
Melaka,buddhism,female,93885,Religion
Melaka,hinduism,female,24477,Religion
Melaka,others,female,2130,Religion
Melaka,others,female,834,Religion
Melaka,others,female,6249,Religion
Melaka,total,male,524942,Religion
Melaka,islam,male,354977,Religion
Melaka,christianity,male,13095,Religion
Melaka,buddhism,male,97832,Religion
Melaka,hinduism,male,28163,Religion
Melaka,others,male,2716,Religion
Melaka,others,male,1411,Religion
Melaka,others,male,26748,Religion
Negeri Sembilan,total,female,576000,Religion
Negeri Sembilan,islam,female,360204,Religion
Negeri Sembilan,christianity,female,16032,Religion
Negeri Sembilan,buddhism,female,115565,Religion
Negeri Sembilan,hinduism,female,74423,Religion
Negeri Sembilan,others,female,4764,Religion
Negeri Sembilan,others,female,4863,Religion
Negeri Sembilan,others,female,149,Religion
Negeri Sembilan,total,male,623974,Religion
Negeri Sembilan,islam,male,391351,Religion
Negeri Sembilan,christianity,male,15291,Religion
Negeri Sembilan,buddhism,male,122718,Religion
Negeri Sembilan,hinduism,male,83131,Religion
Negeri Sembilan,others,male,5022,Religion
Negeri Sembilan,others,male,5581,Religion
Negeri Sembilan,others,male,880,Religion
Pahang,total,female,747144,Religion
Pahang,islam,female,574867,Religion
Pahang,christianity,female,10932,Religion
Pahang,buddhism,female,101888,Religion
Pahang,hinduism,female,24436,Religion
Pahang,others,female,4850,Religion
Pahang,others,female,30163,Religion
Pahang,others,female,8,Religion
Pahang,total,male,844151,Religion
Pahang,islam,male,642538,Religion
Pahang,christianity,male,13232,Religion
Pahang,buddhism,male,113789,Religion
Pahang,hinduism,male,34573,Religion
Pahang,others,male,5556,Religion
Pahang,others,male,34449,Religion
Pahang,others,male,14,Religion
Pulau Pinang,total,female,847851,Religion
Pulau Pinang,islam,female,382746,Religion
Pulau Pinang,christianity,female,40449,Religion
Pulau Pinang,buddhism,female,319945,Religion
Pulau Pinang,hinduism,female,68067,Religion
Pulau Pinang,others,female,21056,Religion
Pulau Pinang,others,female,4415,Religion
Pulau Pinang,others,female,11173,Religion
Pulau Pinang,total,male,892554,Religion
